TEXTO,CARRERA,LABEL
siempre me ha gustado entender cómo funcionan las cosas y mejorar procesos,INDUSTRIAL,0
disfruto organizando eventos y asegurándome de que todo salga perfecto,INDUSTRIAL,0
me interesa encontrar maneras más eficientes de hacer tareas cotidianas,INDUSTRIAL,0
siento curiosidad por cómo se pueden optimizar los recursos en una empresa,INDUSTRIAL,0
me apasiona planificar y gestionar proyectos grandes,INDUSTRIAL,0
desde pequeño he querido construir edificios y dejar mi huella en la ciudad,CIVIL,1
me encanta diseñar y ver cómo mis ideas toman forma física,CIVIL,1
me intriga cómo se levantan puentes y estructuras enormes,CIVIL,1
quiero contribuir al desarrollo de infraestructuras sostenibles,CIVIL,1
disfruto trabajando al aire libre y en contacto con la naturaleza,CIVIL,1
paso horas en la computadora creando programas y resolviendo problemas,INFORMÁTICA,2
me fascina cómo la tecnología puede mejorar nuestras vidas,INFORMÁTICA,2
siempre estoy al día con las últimas tendencias en tecnología y software,INFORMÁTICA,2
me gusta resolver puzzles y desafíos lógicos,INFORMÁTICA,2
sueño con desarrollar una aplicación que ayude a millones de personas,INFORMÁTICA,2
me apasiona entender cómo nos comunicamos a través de dispositivos móviles,TELECOMUNICACIONES,3
quiero mejorar la conectividad en áreas remotas,TELECOMUNICACIONES,3
me intriga cómo funciona internet y las redes globales,TELECOMUNICACIONES,3
disfruto desmontando aparatos electrónicos para ver cómo funcionan,TELECOMUNICACIONES,3
sueño con participar en el avance de las tecnologías de comunicación,TELECOMUNICACIONES,3
siempre estoy dibujando y creando diseños de espacios y edificios,ARQUITECTURA,4
me inspira la idea de diseñar lugares donde las personas vivan y trabajen,ARQUITECTURA,4
me interesa cómo el entorno construido afecta nuestro bienestar,ARQUITECTURA,4
quiero combinar arte y funcionalidad en mis creaciones,ARQUITECTURA,4
me apasiona la idea de contribuir al paisaje urbano de mi ciudad,ARQUITECTURA,4
me encanta reflexionar sobre preguntas profundas y el sentido de la vida,FILOSOFÍA,5
disfruto leyendo obras de grandes pensadores y filósofos,FILOSOFÍA,5
me intriga cómo las ideas han moldeado la historia humana,FILOSOFÍA,5
quiero ayudar a otros a pensar críticamente sobre el mundo,FILOSOFÍA,5
siento una conexión especial con temas éticos y morales,FILOSOFÍA,5
siempre he querido entender por qué las personas actúan como lo hacen,PSICOLOGÍA,6
me interesa cómo funciona la mente humana y las emociones,PSICOLOGÍA,6
quiero ayudar a otros a superar sus problemas y sentirse mejor,PSICOLOGÍA,6
disfruto escuchando a las personas y ofreciendo apoyo,PSICOLOGÍA,6
me fascina estudiar el desarrollo humano desde la niñez hasta la adultez,PSICOLOGÍA,6
la lectura y la escritura son mis pasiones más grandes,LETRAS,7
me encanta perderme en historias y crear mundos con palabras,LETRAS,7
sueño con ser escritor y compartir mis historias con el mundo,LETRAS,7
me interesa analizar textos y descubrir sus significados ocultos,LETRAS,7
disfruto estudiando diferentes estilos literarios y épocas históricas,LETRAS,7
siempre estoy al tanto de las noticias y me gusta informar a los demás,COMUNICACIÓN SOCIAL,8
me apasiona el poder de los medios para influir en la sociedad,COMUNICACIÓN SOCIAL,8
quiero ser la voz de quienes no pueden ser escuchados,COMUNICACIÓN SOCIAL,8
me interesa la fotografía y contar historias a través de imágenes,COMUNICACIÓN SOCIAL,8
disfruto creando contenido para redes sociales y conectando con la gente,COMUNICACIÓN SOCIAL,8
siento una vocación por enseñar y compartir conocimientos,EDUCACIÓN,9
me llena de alegría ver cómo otros aprenden y crecen,EDUCACIÓN,9
quiero hacer una diferencia en la vida de los niños y jóvenes,EDUCACIÓN,9
me interesa desarrollar métodos de enseñanza innovadores,EDUCACIÓN,9
creo que la educación es la clave para un futuro mejor,EDUCACIÓN,9
siempre he tenido habilidades para liderar y organizar equipos,ADMINISTRACIÓN,10
me interesa cómo funcionan las empresas y cómo pueden mejorar,ADMINISTRACIÓN,10
disfruto planificando estrategias y alcanzando objetivos,ADMINISTRACIÓN,10
sueño con dirigir mi propio negocio algún día,ADMINISTRACIÓN,10
me apasiona ayudar a las organizaciones a ser más eficientes,ADMINISTRACIÓN,10
soy bueno con los números y me gusta mantener todo en orden,CONTADURÍA,11
me interesa cómo se manejan las finanzas en una empresa,CONTADURÍA,11
disfruto analizando datos y haciendo cálculos precisos,CONTADURÍA,11
quiero asegurarme de que los recursos se utilicen correctamente,CONTADURÍA,11
me siento satisfecho cuando logro cuadrar cuentas complicadas,CONTADURÍA,11
me preocupa el bienestar de los empleados en una empresa,RELACIONES INDUSTRIALES,12
quiero mejorar las condiciones laborales y el ambiente de trabajo,RELACIONES INDUSTRIALES,12
me interesa mediar entre trabajadores y empleadores,RELACIONES INDUSTRIALES,12
disfruto planificando capacitaciones y oportunidades de crecimiento,RELACIONES INDUSTRIALES,12
sueño con crear políticas que beneficien a todos en una organización,RELACIONES INDUSTRIALES,12
me fascina estudiar cómo las sociedades evolucionan y cambian,SOCIOLOGÍA,13
quiero entender mejor los problemas sociales y cómo resolverlos,SOCIOLOGÍA,13
me interesa investigar sobre culturas y comunidades diversas,SOCIOLOGÍA,13
disfruto analizando comportamientos colectivos y tendencias sociales,SOCIOLOGÍA,13
creo que podemos mejorar el mundo si comprendemos mejor a la sociedad,SOCIOLOGÍA,13
siempre me ha gustado entender cómo funciona la economía global,ECONOMÍA,14
me interesa analizar mercados y predecir tendencias financieras,ECONOMÍA,14
quiero contribuir a políticas que mejoren la situación económica de mi país,ECONOMÍA,14
disfruto estudiando gráficos y datos económicos,ECONOMÍA,14
sueño con trabajar en instituciones que toman decisiones importantes,ECONOMÍA,14
desde niño he sentido un fuerte sentido de justicia,DERECHO,15
quiero defender los derechos de quienes no pueden hacerlo por sí mismos,DERECHO,15
me interesa conocer las leyes y cómo se aplican en la vida cotidiana,DERECHO,15
disfruto argumentando y participando en debates,DERECHO,15
sueño con ser abogado y marcar una diferencia en mi comunidad,DERECHO,15
siento una conexión profunda con mi fe y quiero estudiarla más a fondo,TEOLOGÍA,16
me interesa comprender las diferentes religiones y creencias del mundo,TEOLOGÍA,16
quiero ayudar a otros en su camino espiritual,TEOLOGÍA,16
disfruto reflexionando sobre cuestiones existenciales y espirituales,TEOLOGÍA,16
sueño con enseñar y compartir conocimientos sobre mi fe,TEOLOGÍA,16
me intriga cómo se pueden mejorar los sistemas de producción,INDUSTRIAL,0
quiero encontrar soluciones prácticas a problemas cotidianos,INDUSTRIAL,0
disfruto trabajando en equipo para lograr metas comunes,INDUSTRIAL,0
siento curiosidad por la gestión eficiente de recursos,INDUSTRIAL,0
me apasiona innovar en procesos industriales,INDUSTRIAL,0
siempre me ha gustado construir cosas con mis manos,CIVIL,1
me interesa el diseño de espacios públicos que beneficien a la comunidad,CIVIL,1
quiero participar en proyectos que mejoren la infraestructura de mi país,CIVIL,1
disfruto viendo cómo una idea se convierte en una estructura real,CIVIL,1
sueño con dejar un legado a través de construcciones emblemáticas,CIVIL,1
paso mucho tiempo explorando nuevas tecnologías y gadgets,INFORMÁTICA,2
me encanta aprender nuevos lenguajes de programación,INFORMÁTICA,2
quiero desarrollar soluciones tecnológicas para problemas sociales,INFORMÁTICA,2
disfruto creando programas que facilitan la vida de las personas,INFORMÁTICA,2
sueño con ser parte de innovaciones que cambien el mundo,INFORMÁTICA,2
me fascina cómo podemos enviar información al otro lado del mundo en segundos,TELECOMUNICACIONES,3
quiero mejorar la manera en que nos conectamos unos con otros,TELECOMUNICACIONES,3
disfruto experimentando con dispositivos electrónicos,TELECOMUNICACIONES,3
siento curiosidad por las tecnologías que aún no existen,TELECOMUNICACIONES,3
me apasiona la idea de conectar a las personas sin importar la distancia,TELECOMUNICACIONES,3
siempre estoy imaginando cómo sería diseñar mi propio espacio,ARQUITECTURA,4
me interesa la relación entre el diseño y la funcionalidad de un edificio,ARQUITECTURA,4
disfruto visitando lugares con arquitectura interesante,ARQUITECTURA,4
quiero crear espacios que inspiren a las personas,ARQUITECTURA,4
sueño con combinar arte y ciencia en mis diseños,ARQUITECTURA,4
me encanta cuestionar el porqué de las cosas,FILOSOFÍA,5
disfruto de conversaciones profundas sobre la vida y el universo,FILOSOFÍA,5
quiero explorar diferentes formas de pensar y perspectivas,FILOSOFÍA,5
siento que la filosofía nos ayuda a entender mejor nuestro lugar en el mundo,FILOSOFÍA,5
me apasiona aprender sobre distintas corrientes filosóficas,FILOSOFÍA,5
siempre he sido el amigo al que todos acuden por consejos,PSICOLOGÍA,6
me interesa entender los procesos detrás de nuestras decisiones,PSICOLOGÍA,6
disfruto aprendiendo sobre diferentes personalidades y comportamientos,PSICOLOGÍA,6
quiero ayudar a mejorar la salud mental en mi comunidad,PSICOLOGÍA,6
siento empatía por quienes enfrentan desafíos emocionales,PSICOLOGÍA,6
la escritura es mi forma favorita de expresión,LETRAS,7
me pierdo en las páginas de una buena novela,LETRAS,7
quiero estudiar idiomas y cómo evolucionan con el tiempo,LETRAS,7
disfruto analizando poemas y descubriendo sus significados profundos,LETRAS,7
sueño con enseñar literatura y compartir mi pasión con otros,LETRAS,7
me motiva contar historias que impacten a la sociedad,COMUNICACIÓN SOCIAL,8
quiero trabajar en televisión o radio y llegar a muchas personas,COMUNICACIÓN SOCIAL,8
disfruto investigando y reportando sobre temas de actualidad,COMUNICACIÓN SOCIAL,8
siento que los medios pueden ser una fuerza para el bien,COMUNICACIÓN SOCIAL,8
me apasiona el cine y la producción audiovisual,COMUNICACIÓN SOCIAL,8
creo que la educación es la base para el cambio social,EDUCACIÓN,9
me interesa desarrollar programas educativos innovadores,EDUCACIÓN,9
disfruto trabajando con niños y jóvenes,EDUCACIÓN,9
quiero ser un mentor y guía para las nuevas generaciones,EDUCACIÓN,9
siento que enseñar es mi vocación,EDUCACIÓN,9
me gusta coordinar proyectos y verlos llegar a buen término,ADMINISTRACIÓN,10
quiero entender cómo hacer crecer una empresa desde cero,ADMINISTRACIÓN,10
disfruto trabajando en ambientes dinámicos y competitivos,ADMINISTRACIÓN,10
siento que tengo habilidades para liderar y motivar a otros,ADMINISTRACIÓN,10
me interesa el mundo de los negocios y las finanzas,ADMINISTRACIÓN,10
siempre he tenido facilidad con los números y las matemáticas,CONTADURÍA,11
me interesa cómo las decisiones financieras afectan a una empresa,CONTADURÍA,11
disfruto asegurándome de que todo esté en orden y sin errores,CONTADURÍA,11
quiero ayudar a las empresas a ser más rentables,CONTADURÍA,11
siento satisfacción al resolver problemas complejos,CONTADURÍA,11
me preocupa el equilibrio entre el trabajo y la vida personal en las empresas,RELACIONES INDUSTRIALES,12
quiero fomentar ambientes laborales saludables,RELACIONES INDUSTRIALES,12
disfruto mediando en conflictos y buscando soluciones,RELACIONES INDUSTRIALES,12
siento que el capital humano es el recurso más valioso,RELACIONES INDUSTRIALES,12
me interesa cómo motivar a las personas para alcanzar sus metas,RELACIONES INDUSTRIALES,12
siempre me ha intrigado por qué las sociedades funcionan de cierta manera,SOCIOLOGÍA,13
quiero estudiar y entender las desigualdades sociales,SOCIOLOGÍA,13
disfruto analizando datos y tendencias sociales,SOCIOLOGÍA,13
siento que puedo contribuir a cambios positivos en la sociedad,SOCIOLOGÍA,13
me apasiona investigar sobre temas de género y diversidad,SOCIOLOGÍA,13
me interesa cómo las decisiones económicas afectan a las personas comunes,ECONOMÍA,14
quiero entender las causas de las crisis financieras,ECONOMÍA,14
disfruto estudiando teorías económicas y aplicándolas a la realidad,ECONOMÍA,14
siento que puedo contribuir a un sistema económico más justo,ECONOMÍA,14
me fascina el mundo de las inversiones y el mercado bursátil,ECONOMÍA,14
siempre he tenido un fuerte sentido de lo que es correcto e incorrecto,DERECHO,15
me interesa aprender sobre diferentes sistemas legales,DERECHO,15
disfruto defendiendo mis puntos de vista con argumentos sólidos,DERECHO,15
quiero luchar por la justicia y la igualdad,DERECHO,15
sueño con ser juez o fiscal y servir a mi país,DERECHO,15
siento una llamada a servir y profundizar en mi fe,TEOLOGÍA,16
me interesa el estudio de las escrituras y su aplicación hoy en día,TEOLOGÍA,16
disfruto participando en actividades de mi comunidad religiosa,TEOLOGÍA,16
quiero dedicar mi vida a ayudar espiritualmente a los demás,TEOLOGÍA,16
me apasiona el diálogo entre diferentes religiones y culturas,TEOLOGÍA,16
me gusta buscar formas de hacer más con menos recursos,INDUSTRIAL,0
quiero entender cómo funcionan las cadenas de suministro,INDUSTRIAL,0
disfruto optimizando mi tiempo y actividades diarias,INDUSTRIAL,0
siento que puedo mejorar procesos en cualquier área,INDUSTRIAL,0
me intriga cómo se puede aumentar la productividad sin sacrificar calidad,INDUSTRIAL,0
siempre he admirado las grandes obras de ingeniería civil,CIVIL,1
quiero contribuir a construir un mundo más sostenible,CIVIL,1
disfruto resolviendo problemas prácticos con soluciones creativas,CIVIL,1
siento una conexión con el diseño y la construcción,CIVIL,1
me interesa cómo las infraestructuras afectan a la sociedad,CIVIL,1
paso mi tiempo libre explorando nuevas aplicaciones y software,INFORMÁTICA,2
me encanta participar en hackatones y retos de programación,INFORMÁTICA,2
quiero ser parte de la próxima gran innovación tecnológica,INFORMÁTICA,2
disfruto enseñando a otros sobre tecnología,INFORMÁTICA,2
