TEXTO,LABEL
siempre me ha gustado entender cómo funcionan las cosas mejorar procesos,0
disfruto organizando eventos asegurándome de que todo salga perfecto,0
me de interesa encontrar maneras más eficientes hacer tareas cotidianas,0
cómo siento curiosidad por se pueden optimizar los recursos en una empresa,0
me apasiona planificar gestionar proyectos grandes,0
en desde pequeño he querido construir edificios dejar mi huella la ciudad,1
me cómo encanta diseñar ver mis ideas toman forma física,1
me cómo se intriga levantan puentes estructuras enormes,1
de quiero contribuir al desarrollo infraestructuras sostenibles,1
disfruto en la al trabajando aire libre contacto con naturaleza,1
en la paso horas computadora creando programas resolviendo problemas,2
me cómo mejorar la fascina tecnología puede nuestras vidas,2
siempre las en al con tecnología estoy día últimas tendencias software,2
me gusta resolver puzzles desafíos lógicos,2
de que una con sueño desarrollar aplicación ayude millones personas,2
me entender cómo de apasiona nos comunicamos través dispositivos móviles,3
mejorar en la quiero conectividad áreas remotas,3
me cómo las intriga funciona internet redes globales,3
cómo funcionan disfruto ver desmontando aparatos electrónicos para,3
las de en con sueño participar el avance tecnologías comunicación,3
siempre de edificios creando estoy dibujando diseños espacios,4
me las de la diseñar personas inspira idea lugares donde vivan trabajen,4
me cómo interesa el entorno construido afecta nuestro bienestar,4
en mis quiero combinar arte funcionalidad creaciones,4
me de apasiona mi la ciudad contribuir al idea paisaje urbano,4
me de la encanta el reflexionar sobre preguntas profundas sentido vida,5
disfruto de grandes leyendo obras pensadores filósofos,5
me cómo las la ideas intriga han moldeado historia humana,5
quiero el sobre ayudar otros pensar críticamente mundo,5
siento una con conexión especial temas éticos morales,5
siempre entender las por he querido personas qué actúan como lo hacen,6
me cómo las interesa la funciona humana mente emociones,6
quiero problemas ayudar otros superar sus sentirse mejor,6
las disfruto personas escuchando ofreciendo apoyo,6
me desde la desarrollo fascina el estudiar humano niñez hasta adultez,6
más grandes la mis lectura escritura son pasiones,7
me en encanta con perderme historias crear mundos palabras,7
mis con sueño el mundo historias ser escritor compartir,7
me interesa sus analizar textos descubrir significados ocultos,7
disfruto estudiando diferentes estilos literarios épocas históricas,7
siempre me las de los al estoy gusta tanto noticias informar demás,8
me de los en apasiona la para el poder medios influir sociedad,8
de pueden la quiero ser voz quienes no escuchados,8
me de interesa la través historias fotografía contar imágenes,8
disfruto la con creando redes para contenido sociales conectando gente,8
siento por una compartir vocación enseñar conocimientos,9
me cómo de ver otros llena alegría aprenden crecen,9
de hacer los en una la quiero vida diferencia niños jóvenes,9
me de interesa desarrollar métodos enseñanza innovadores,9
que la para mejor creo educación es clave un futuro,9
siempre he para tenido habilidades liderar organizar equipos,10
me cómo funcionan las mejorar interesa pueden empresas,10
disfruto planificando estrategias alcanzando objetivos,10
mi con día sueño dirigir propio negocio algún,10
me las más eficientes apasiona ayudar ser organizaciones,10
me todo los en con gusta soy bueno números mantener orden,11
me cómo las interesa se en una empresa manejan finanzas,11
disfruto analizando datos haciendo cálculos precisos,11
de que se los recursos quiero asegurarme utilicen correctamente,11
me siento satisfecho cuando logro cuadrar cuentas complicadas,11
me de los en una empresa el bienestar preocupa empleados,12
las mejorar de quiero el condiciones laborales ambiente trabajo,12
me interesa mediar entre trabajadores empleadores,12
disfruto de planificando capacitaciones oportunidades crecimiento,12
que en una con sueño crear políticas beneficien todos organización,12
me cómo las fascina estudiar sociedades evolucionan cambian,13
entender cómo los quiero problemas mejor sociales resolverlos,13
me interesa sobre investigar culturas comunidades diversas,13
disfruto tendencias sociales analizando comportamientos colectivos,13
mejorar que la el mundo mejor sociedad creo podemos si comprendemos,13
siempre me ha gustado entender cómo la funciona economía global,14
me interesa tendencias analizar mercados predecir financieras,14
de que mi la quiero contribuir políticas mejoren situación económica país,14
disfruto estudiando datos gráficos económicos,14
que en toman con sueño trabajar instituciones decisiones importantes,14
de desde he sentido un niño fuerte justicia,15
de por pueden los quiero quienes no defender derechos hacerlo sí mismos,15
me cómo las interesa se en la vida conocer leyes aplican cotidiana,15
disfruto en argumentando participando debates,15
en una mi con sueño ser diferencia abogado marcar comunidad,15
más siento una mi quiero con conexión profunda fe estudiarla fondo,16
